Year,Transect_no,Control,Date,Birds_present,Part_of_transect,Dostance_cat,No_singing_males
2011,TBB11,3,3/06/2011,yes,1,2,1
2011,TBB11,3,3/06/2011,yes,2,2,2
2011,TBB11,3,3/06/2011,yes,3,1,1
2011,TBB11,3,3/06/2011,yes,4,1,1
2011,TBB11,3,3/06/2011,yes,4,2,1
2011,TBB11,3,3/06/2011,yes,4,3,1
2011,TBB11,3,3/06/2011,yes,5,2,2
2011,TBB12,1,25/05/2011,yes,1,2,1
2011,TBB12,1,25/05/2011,no,2,,0
2011,TBB12,1,25/05/2011,no,3,,0
2011,TBB12,1,25/05/2011,yes,4,3,2
2011,TBB12,1,25/05/2011,no,5,,0
2011,TBB12,2,26/05/2011,no,1,,0
2011,TBB12,2,26/05/2011,yes,2,3,1
2011,TBB12,2,26/05/2011,yes,3,2,1
2011,TBB12,2,26/05/2011,no,4,,0
2011,TBB12,2,26/05/2011,no,5,,0
2011,TBB12,3,1/06/2011,yes,1,2,1
2011,TBB12,3,1/06/2011,no,2,,0
2011,TBB12,3,1/06/2011,yes,3,1,1
2011,TBB12,3,1/06/2011,yes,3,2,2
2011,TBB12,3,1/06/2011,yes,3,3,1
2011,TBB12,3,1/06/2011,no,4,,0
2011,TBB12,3,1/06/2011,no,5,,0
2011,TBB13,1,28/05/2011,yes,1,2,1
2011,TBB13,1,28/05/2011,yes,2,2,1
2011,TBB13,1,28/05/2011,no,3,,0
2011,TBB13,1,28/05/2011,yes,4,2,1
2011,TBB13,1,28/05/2011,yes,5,3,1
2011,TBB13,2,30/05/2011,yes,1,2,1
2011,TBB13,2,30/05/2011,yes,2,2,1
2011,TBB13,2,30/05/2011,yes,3,3,1
2011,TBB13,2,30/05/2011,yes,4,2,1
2011,TBB13,2,30/05/2011,yes,4,3,1
2011,TBB13,2,30/05/2011,yes,5,2,1
2011,TBB13,3,31/05/2011,yes,1,2,1
2011,TBB13,3,31/05/2011,yes,2,2,1
2011,TBB13,3,31/05/2011,yes,3,2,1
2011,TBB13,3,31/05/2011,yes,3,3,1
2011,TBB13,3,31/05/2011,yes,4,1,1
2011,TBB13,3,31/05/2011,yes,5,2,1
2011,TBB14,1,28/05/2011,yes,1,1,1
2011,TBB14,1,28/05/2011,yes,1,2,4
2011,TBB14,1,28/05/2011,yes,1,3,1
2011,TBB14,1,28/05/2011,yes,2,2,2
2011,TBB14,1,28/05/2011,yes,2,3,2
2011,TBB14,1,28/05/2011,yes,3,2,4
2011,TBB14,1,28/05/2011,yes,3,3,1
2011,TBB14,1,28/05/2011,yes,4,1,1
2011,TBB14,1,28/05/2011,yes,4,2,3
2011,TBB14,1,28/05/2011,yes,4,3,1
2011,TBB14,1,28/05/2011,yes,5,2,2
2011,TBB14,1,28/05/2011,yes,5,3,1
2011,TBB14,2,29/05/2011,yes,1,2,4
2011,TBB14,2,29/05/2011,yes,2,1,3
2011,TBB14,2,29/05/2011,yes,2,2,4
2011,TBB14,2,29/05/2011,yes,2,3,2
2011,TBB14,2,29/05/2011,yes,3,1,3
2011,TBB14,2,29/05/2011,yes,3,2,1
2011,TBB14,2,29/05/2011,yes,3,3,2
