parm,mean,sd,lcl,25%,median,75%,ucl,Rhat,n.eff,overlap0,f,parm
"db[14,4]",0.249987869,0.069974471,0.11117979,0.20248948,0.249927574,0.297287285,0.387187131,1.000079114,26262,0,1,"db[14,4]"
"db[15,4]",0.249703059,0.069943955,0.113050474,0.202359975,0.249513953,0.296986841,0.387097772,1.000005857,40000,0,1,"db[15,4]"
"db[16,4]",0.249837184,0.070309222,0.111980527,0.202926346,0.249591294,0.297231596,0.387146087,0.999960367,40000,0,1,"db[16,4]"
"db[17,4]",0.250126182,0.069941608,0.115076028,0.202810485,0.249988423,0.297422507,0.387242588,1.000007586,40000,0,1,"db[17,4]"
"db[18,4]",0.250111635,0.070288644,0.113025932,0.202755251,0.249885944,0.297533634,0.388046443,0.999984211,40000,0,1,"db[18,4]"
"db[19,4]",0.250392801,0.070055618,0.11375497,0.203067775,0.250395252,0.29762344,0.387004114,1.000042166,38678,0,1,"db[19,4]"
"db[20,4]",0.250145999,0.070256114,0.112466994,0.202634329,0.250161611,0.296941804,0.388157021,0.999984227,40000,0,1,"db[20,4]"
"db[21,4]",0.249965996,0.069862441,0.112886111,0.202951093,0.249779787,0.297796896,0.387391206,1.000015866,40000,0,1,"db[21,4]"
"db[22,4]",0.250058098,0.070021868,0.113021108,0.202658794,0.250084375,0.297083565,0.387474724,1.000133599,16775,0,1,"db[22,4]"
"db[23,4]",0.250527315,0.069938695,0.11360551,0.202877776,0.250767969,0.298177672,0.387258355,1.00007075,40000,0,1,"db[23,4]"
"db[24,4]",0.24980083,0.070096814,0.11169765,0.202528715,0.2494867,0.297114108,0.386885347,0.999998164,40000,0,1,"db[24,4]"
"db[25,4]",0.250603299,0.069356844,0.113765478,0.20404787,0.250438425,0.29717984,0.386785317,1.000023042,40000,0,1,"db[25,4]"
"db[26,4]",0.250172732,0.069748083,0.114473726,0.203444385,0.249381234,0.297418525,0.387536819,0.99999328,40000,0,1,"db[26,4]"
"db[27,4]",0.250135095,0.069448748,0.113772944,0.20340354,0.250110544,0.296707895,0.386138745,1.000036395,34761,0,1,"db[27,4]"
"db[28,4]",0.250752389,0.069925364,0.11310688,0.203516481,0.250966292,0.297583794,0.387927286,1.000024698,35730,0,1,"db[28,4]"
"db[29,4]",0.250093141,0.069941848,0.113896068,0.202344517,0.250077736,0.29724618,0.386724941,1.000023885,34552,0,1,"db[29,4]"
"db[30,4]",0.25078314,0.069929286,0.113730432,0.203545554,0.250278422,0.298458891,0.386913967,0.999984398,40000,0,1,"db[30,4]"
"db[31,4]",0.250552297,0.069975308,0.113723479,0.203127964,0.251161232,0.297827837,0.386844231,1.000047955,30852,0,1,"db[31,4]"
"db[32,4]",0.249896407,0.070045882,0.112497739,0.202741612,0.249922937,0.296953902,0.387883744,1.000003891,40000,0,1,"db[32,4]"
"db[33,4]",0.250159067,0.069601246,0.114932251,0.203261064,0.249744158,0.297155376,0.386255652,1.000048266,31269,0,1,"db[33,4]"
"db[34,4]",0.249757424,0.069675274,0.11395976,0.202611582,0.249811453,0.29638822,0.387009152,1.000000366,40000,0,1,"db[34,4]"
"db[35,4]",0.249682572,0.069783261,0.112735431,0.202798426,0.249215657,0.297015331,0.386637424,1.000134073,13997,0,1,"db[35,4]"
"db[36,4]",0.249555794,0.069467556,0.115030955,0.20229742,0.249051933,0.296730139,0.38584495,0.999990204,40000,0,1,"db[36,4]"
"db[37,4]",0.250201408,0.069588619,0.114766647,0.202647885,0.250478392,0.296660939,0.386903097,1.000032751,39717,0,1,"db[37,4]"
"db[38,4]",0.249772332,0.069783249,0.11303394,0.202700707,0.250036455,0.297423548,0.386162024,1.00000631,40000,0,1,"db[38,4]"
"db[1,5]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,5]"
"db[2,5]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,5]"
"db[3,5]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,5]"
