"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[4,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[4,3]"
"Ntot[5,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[5,3]"
"Ntot[6,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[6,3]"
"Ntot[7,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[7,3]"
"Ntot[8,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[8,3]"
"Ntot[9,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[9,3]"
"Ntot[10,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[10,3]"
"Ntot[11,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[11,3]"
"Ntot[12,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[12,3]"
"Ntot[13,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[13,3]"
"Ntot[14,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[14,3]"
"Ntot[15,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[15,3]"
"Ntot[16,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[16,3]"
"Ntot[17,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[17,3]"
"Ntot[18,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[18,3]"
"Ntot[19,3]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[19,3]"
"Ntot[20,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[20,3]"
"Ntot[21,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[21,3]"
"Ntot[22,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[22,3]"
"Ntot[23,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[23,3]"
"Ntot[24,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[24,3]"
"Ntot[25,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[25,3]"
"Ntot[26,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[26,3]"
"Ntot[27,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[27,3]"
"Ntot[28,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[28,3]"
"Ntot[29,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[29,3]"
"Ntot[30,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[30,3]"
"Ntot[31,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[31,3]"
"Ntot[32,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[32,3]"
